Number of nodes 296 
   234 :     13    268     74
   235 :     14    269     72
   236 :    145    275    230
   237 :    193    214    192
   238 :     15    209    128
   239 :     16    249    190
   240 :    173    219    218
   241 :     81    203     80
   242 :     89    204     88
   243 :    128    213     78
   244 :    157    242    199
   245 :    231    261    169
   246 :    130    157    155
   247 :     15    277    209
   248 :    196    199     63
   249 :    198    225    186
   250 :    185    215    115
   251 :    181    285    180
   252 :    242    243    200
   253 :     28    145    123
   254 :     17    229    136
   255 :    120    141     28
   256 :    192    233    168
   257 :     98    226    134
   258 :     99    226     98
   259 :    222    242    157
   260 :     83    216     82
   261 :     87    217     86
   262 :    143    222     65
   263 :    223    270    160
   264 :    201    267    132
   265 :    133    266    202
   266 :    191    251    151
   267 :    200    243    162
   268 :    230    260    229
   269 :    211    260    250
   270 :    135    231    191
   271 :     77    249     16
   272 :    235    264    233
   273 :    160    270     30
   274 :     30    270    161
   275 :    229    289    230
   276 :    176    259      7
   277 :    194    272    171
   278 :     20    223     84
   279 :    185    224    215
   280 :    150    232    231
   281 :    186    221    107
   282 :      7    259     70
   283 :     32    178    166
   284 :    167    177     43
   285 :    236    237    129
   286 :    254    261    232
   287 :    197    238    182
   288 :    194    291    272
   289 :    124    234     56
   290 :    250    276    181
   291 :     94    235    125
   292 :    127    291    176
   293 :     55    234    169
   294 :    150    231    135
   295 :    168    233    170
   296 :    129    235     95
   297 :     56    234     55
   298 :    195    237    236
   299 :     95    235     94
   300 :    148    240    227
   301 :    228    241    147
   302 :    207    247    243
   303 :    143    242    222
   304 :     46    240    148
   305 :    147    241    102
   306 :    146    240     47
   307 :    101    241    165
   308 :     47    240     46
   309 :    102    241    101
   310 :    122    160     30
   311 :     30    161    121
   312 :    121    159     29
   313 :     31    158    122
   314 :    123    153     31
   315 :     29    154    120
   316 :    199    242    200
   317 :    150    238    232
   318 :    243    247    162
   319 :    271    292    278
   320 :    149    277     10
   321 :    155    248    156
   322 :    207    243    143
   323 :     38    286    126
   324 :     44    266    133
   325 :    132    267    104
   326 :     53    254     52
   327 :    148    266     45
   328 :    103    267    147
   329 :    137    287     37
   330 :     54    261     53
   331 :    250    260    230
   332 :    164    247    207
   333 :    246    247    164
   334 :    205    246    164
   335 :    163    244    205
   336 :    208    245    144
   337 :    142    244    208
   338 :    206    246    142
   339 :    206    247    246
   340 :    244    245    208
   341 :    163    245    244
   342 :    162    247    206
   343 :    244    246    205
   344 :    142    246    244
   345 :    251    272    151
   346 :    229    260    136
   347 :    165    262    100
   348 :     48    263    146
   349 :    139    263     49
   350 :    211    250    213
   351 :     71    295    188
   352 :    187    294     76
   353 :    161    278    121
   354 :    122    279    160
   355 :    121    278    159
   356 :    158    279    122
   357 :    213    250    181
   358 :    146    263    219
   359 :     93    288     92
   360 :     92    282     27
   361 :    145    280    123
   362 :    212    262    165
   363 :    120    281    141
   364 :     10    277    187
   365 :    136    249     77
   366 :    257    284    203
   367 :    204    283    256
   368 :    238    286    182
   369 :     92    288    214
   370 :    214    282     92
   371 :     52    254    131
   372 :     79    252    179
   373 :    150    286    238
   374 :    180    253     90
   375 :     80    252     79
   376 :     90    253     89
   377 :    169    261     54
   378 :     70    259    163
   379 :    237    264    129
   380 :     84    258     83
   381 :     88    256     87
   382 :     82    257     81
   383 :     86    292     85
   384 :    100    262     99
   385 :     49    263     48
   386 :    159    283     29
   387 :     31    284    158
   388 :     29    283    154
   389 :    153    284     31
   390 :    210    265    211
   391 :    123    280    153
   392 :    154    281    120
   393 :     45    266     44
   394 :    104    267    103
   395 :    240    273    227
   396 :    228    274    241
   397 :    203    252     80
   398 :     89    253    204
   399 :     99    262    226
   400 :     81    257    203
   401 :    204    256     88
   402 :    272    291    151
   403 :    171    272    193
   404 :    170    264    237
